SÕNA,DEFINITSIOON,TASE
lõputu,pole piire ega lõppu,B2
lõug,"näo liikuv alaosa, mille toeseks on alumine lõualuu",B1
läbi,"esineb ühendites, mis väljendavad liikumist, kulgemist, suundumist, suunamist mingi ava, ruumi, keha, keskkonna, ala, pinna ühest otsast, küljest või poolt sisse ja teisest välja",A1
läbipaistev,"selline, millest saab läbi vaadata",B1
lähedal,"lühikese ajavahemiku taga, kätte jõudmas",A2
lähemal,väljendab ajaliselt eesolevat,B1
lähemalt,täpse esitusega,B2
lähenema,ajaliselt saabuma,B1
lähteasend,"asend harjutuse, tantsu või muu sellise alustamisel",B2
lähtuvalt,"millestki tõukudes, midagi aluseks võttes, millegi põhjal",B2
läkitama,"kellegi, millegi kaudu või vahendusel kellelegi midagi lähetama või teada andma",C1
lööma,löögiga heli tekitama,A2
lühendama,"pikkust vähendama, lühemaks tegema",B2
lühenema,"pikkuselt vähenema, lühemaks muutuma",B2
lühiajaline,"lühikest aega kestev, ajaliselt lühike",B2
lühike,suhteliselt väikese pikkuse või ulatusega,A1
lükkama,"tõuke, tõugete või pideva surumisega kuhugi või mingis suunas liikuma panema või liikumas hoidma",B1
lükkuma,ajaliselt edasi nihkuma,B2
lüli,üks järjestikku asetsevaist samalaadsetest kehaosadest,B2
lülitama,"tehniliselt sisepõlemismootorit, mehhanismi käivitama või seiskama",B1
lüpsma,lehma või muu emaslooma udarat piimast tühjendama,C1
lütseum,humanitaarkallakuga gümnaasium mõnedes maades,B1
maa,"selle planeedi pind kui kõige elusa asupaik vastandina atmosfäärile, taevale või",A1
maa-ala,teatud osa maast,A2
maa-alune,"maa all, maa sees asuv või toimuv",B2
maadleja,maadlusega tegelev sportlane,B2
maadlema,"maadluse kui spordialaga tegelema, sel spordialal võistlema",B2
maailm,kogu olemasolev mateeria,A1
maailmapilt,"põhimõtete, veendumuste ja ideaalide kogum, mis määrab inimese suhtumise tegelikkusesse ja tema peamised tegevussuunad",B2
maakler,"lepingute sõlmimise vm õiguslike toimingute vahendaja, eriti kaubandustehingute alal",B1
maakond,suurem ühiskondlik-territoriaalne v haldusüksus,A2
maal,"kahemõõtmelisel pinnal värvide abil kujutatu, maalitud pilt",A2
maalima,värve ja pintslit kasutades maali looma,B1
maandama,"maapinnale , Maale laskuma panema, maanduma panema",C1
maanduma,"kuhugi sattuma, kuhugi jõudma",B1
maas,"maapinnal, aluspinnal",B1
maastik,"teatud maa-ala välisilme, värvide ja vormide laad vaatevälja ulatuses",B2
maavärin,peamiselt looduslikku päritolu maa-alused tõuked ja maapinna kõikumine,B1
madal,"ümbrusest või mingist alustasandist suhteliselt vähe ülespoole ulatuv, väikese kõrgusega, alt ülespoole, püstsuunas lühike",A2
madalal,mingile alustasandile,B1
magama,"uneseisundis olema, mitte ärkvel olema",A1
mage,"vähe, nõrgalt soolane või päriselt soolatu",B2
magistrant,magistrikraadi taotleja,B2
magus,"suhkru, siirupi, mee ja muu selline aine maitsega",A2
maha,"püstiasendist pikali, siruli vms asendisse",A2
mahe,"kõrvale meeldiv kuulda, mitte liiga vali või muidu häiriv",B2
mahukas,"mahult, mõõtmetelt suur, palju mahutav",B2
mahutama,"kuhugi mahtuma panema, ära paigutama,",B2
mainima,"nimetades esile tooma,",B1
mais,Kesk-Ameerikast pärinev kõrreline teravilja- ja söödakultuur,B1
maitse,"kelleski isikupäraselt väljakujunenud tunne selle kohta, mis on maitsev, mis ei",B1
maitseaine,toitude ja jookide maitse ning lõhna mõjustamiseks vähesel hulgal kasutatav aine või maitsetaim,B1
maitsekalt,"head maitset väljendaval, esteetiliselt nauditaval viisil",C1
maitsestama,lisamisega maitsvaks muutma,B2
maitsetu,maitseomadusteta,B2
maitsev,"heamaitseline, meeldivate maitseomadustega",A2
maiustama,midagi väga maitsvat nautides sööma,B2
majandus,"ühiskonna ainelise olemasolu tagamisega seotud eluavalduste kogum, ühiskonna majanduselu",A2
majutama,"majja, korterisse elama paigutama",B2
makett,"hoone, seadme või muu eseme või nende rühma väliskuju jäljendav, harilikult vähendatud mudel",B2
makse,millegi eest sisse- või väljamakstav rahasumma,A2
maksimum,"suurim võimalik ulatus, väärtus või hulk",B2
maksma,teatud rahasummat väärt olema,A1
maksustama,"maksu või makse määrama, maksu peale panema",B2
manama,"kujutlusse, vaimusilma ette äratama",C1
mandariin,mandariinipuu vili,A1
mandel,mandlipuu luuseemne õlirikas tuum,B2
manipuleerima,"kedagi oskuslikult, targalt või muu moodi mõjutama",B2
manitsema,"pehmelt õpetama, korrale või eluviisi parandamisele suunama",C1
manööver,"kaval võte, toimimisviis",B2
maraton,ülipikk distants jooksus vm spordialal,B2
mari,"taimede lihakas hulgaseemneline vili,",A2
marker,teatud paksu otsikuga viltpliiats,B1
marsruut,"määratud, kavandatud või tegelik liikumistee või suund",B1
marssima,taktsammu käima,B2
maru,"pöörane viha, meeletu raev, märatsus",C1
masin,"mehhaaniline või elektriline riistapuu, mis kergendab ja tõhustab inimtööd",A1
mass,"suurus, mis iseloomustab ja mõõdab inertsi ja gravitatsiooni",B1
massiivne,kogult suur või võimsana näiv,B2
mast,mängukaartide sama sümboliga rühm,B2
matemaatiline,"matemaatika alale kuuluv, seda puudutav, sellega seotud, matemaatikal põhinev, matemaatika meetodeid kasutav",B2
materjal,"see, mis on vajalik millegi valmistamiseks, tootmiseks, ehitamiseks ja nii edasi",A2
matkama,matka sooritama,B1
matma,surnut harilikult vastava kombetalitusega viimsesse puhkepaika,B1
mattuma,millegi alla või sisse maetud saama,B2
meel,mälu,B1
meeldima,"kellelegi meele järgi, meelepärane olema",A1
meeldiv,"meeldimust äratav, heameelt või rahulolu esile kutsuv",A1
meeldivalt,lahkel ja sõbralikul viisil,B1
meelega,mõnikord ka kiusu pärast,B2
meeleheitlikult,meeletul ja pöörasel moel,B2
meelelahutuslik,"meeldivat vaheldust pakkuv, lõõgastavaks vahelduseks olev",B2
meeleolu,kirjandus- või kunstiteose üldine tundelaad,A2
meelepärane,aktsepteerimist väärt või rahuldav,B2
meeletult,väga tarvilikul või vajamineval moel,B2
meene,"mälestuseks saadud või hangitud, mälestusena säilitatav",B2
mees,täiskasvanud meessoost inimene,A1
meeskond,meestest koosnev võistkond,A2
meetod,otstarbekohane ning kavakindel toimimisviis mingi eesmärgi saavutamiseks,B1
mehaanik,"oskustööline, kes ehitab, hooldab ning remondib masinaid ja seadmeid",B1
mehaaniline,"mehhanismi abil toimiv, tegutsev või tekitatud",B2
mehhanism,"mehhaaniline riistapuu, millel on liikuvad osad",B1
meister,"kõrgeima kvalifikatsiooniga käsitööline, kellel oli harilikult oma töökoda",A2
meisterdama,"midagi tegema, valmistama",B2
meremees,laeva meeskonda kuuluv isik,A2
meri,maismaasse lõikunud või avaookeanist saarte või veealuste kõrgendikega eraldatud,A1
mesindus,"mesilaste pidamine mee, vaha, taruvaigu ja muu ainete saamiseks ning taimede tolmeldamiseks",B2
mesinik,"mesilasi pidav, ameti poolest mesindusega tegelev isik",B2
metoodika,"mingi tegevuse, töö sooritamise meetodite kogum",B2
mets,"maastiku osa ja taimekooslus, mis on kujunenud puude koos kasvades",A1
metsikult,ebainimlikul moel,B2
miiting,poliitiline rahvakoosolek,B2
minema,edasi LIIKUMA,A1
mineraal,tahke anorgaaniline aine maakoores või teistel taevakehadel,B2
mineraalvesi,looduslikust mineraalveest valmistatud karastusjook,B1
minia,poja abikaasa,B2
minister,"riigihalduse teatud ala, harilikult ministeeriumi juhtiv valitsuse liige",B1
mitmeaastane,mitu aastat kestev,B2
mitmekordistama,arvuliselt suurendama,B2
mitmevõistlus,mitmest spordialast või sama spordiala mitmest harjutusest koosnev võistlus,C1
mobiliseerima,"kõiki jõude tegevusvalmiks seadma, teatud ülesandeks rakendama",B2
molekul,"aine kõige väiksem osake, milles säilivad tema keemilised omadused",B2
moment,"iseloomustav suurus, tihti väljendatav kahe suuruse korrutisena",A2
monopol,valitsev hiigelettevõte või ettevõtete ühendus,B2
monstrum,"kummaline, inetu ese, ehitis või muu sellise",B2
monteerima,üksikosadest kokku panema või paigaldama,B2
moodustama,"mingil kujul esinema, millenagi olemas olema, endast midagi kujutama",B1
moodustis,miski moodustunu või moodustatu,B2
moonduma,"ebaloomulikuks, võõraks, sageli inetuks või veidraks muutuma",C1
moraal,loo või sündmuse olulisus,B2
motiiv,"muusikapala väikseim, muusikalist mõtet kätkev meloodialõik",B2
mudel,"originaalobjektiga kindlas vastavuses olev tehisobjekt, ka skeem, seoste matemaatiline kirjeldus või muu sellise",A2
muhelema,"mõnusalt, rahulolevalt omaette naeratama",C1
muide,"sõna, mis osutab, et midagi mainitakse kõrvalepõikena, vahemärkusena",B2
muidu,teises mõttes,B1
muigama,"põgusalt, kergelt naeratama",B2
muld,"maakoore pindmine kobe kiht, millesse kinnituvad taimede juured",B1
mulje,"kellestki või millestki vahetul mõjul tekkinud ettekujutusest johtuv vaistlik eritlematu arusaam, arvamus ja muu selline",B1
mull,"vees või muu vedelikus, samuti vedelas aines, segus ja muu selline moodustunud väike õhu või muu gaasi kogum",B2
murdma,"surudes, painutades, väänates või muul viisil millegi terviklikkust rikkuma, selle kuju või asendit muutma",B1
mure,"kergesti murenev, pudenev,",A2
murel,murelipuu tume vili,B1
murelik,muret tekitav,B1
muru,maad kattev madal tihe rohi,B1
musitseerima,"muusikat esitama,",B2
mustand,esialgne viimistlemata käsikiri või muu paberile pandu,B2
mustikas,"harilikult okasmetsas kasvava heitlehelise kääbuspõõsa, mustika mari",B1
muundama,"teisendama, teiselaadiliseks või -liigiliseks muutma",C1
muuseum,"kultuuri- või loodusväärtusi koguv, säilitav, eksponeeriv ning uuriv asutus",A2
muutma,teistsuguseks või täiesti teiseks tegema,A2
mõeldamatu,miski teostamatu,B2
mõistatus,miski või keegi seletamatu,B1
mõiste,"sõna või sõnaühend, mida kasutatakse mingi kindla asja jaoks",B2
mõistlik,"korralik, kõlblik, sobiv, selline, nagu olema peab",B1
mõistma,"millegi, kellegi olemust teadma või tundma",B1
mõju,millestki või kellestki lähtuv teatud muutust esile kutsuv toime,B1
mõjuma,"tunduma, paistma, näima",A2
mõneti,mõnel määral,B2
mõra,"kitsas, harilikult mitte läbiv, mitte sügavale ulatuv pragu",B2
mõru,"koirohu, sapi, võilille piimmahla ja muu selline maitsega",B1
mõte,mõtlemise üksikakt või tulemus,A1
mõtestama,"mõtet, tähendust, sisu, mõttekust andma",B2
mõtlema,"ajutegevuse abil omadusi ja seoseid leidma, järeldusi ja otsustusi tegema",A1
mõttekas,"selline, mil on mõtet, tähtsust",B2
mõõdukalt,mitte rohkem ega vähem,B2
mõõk,külmrelv raiumiseks või torkamiseks,B1
mõõt,parajal määral midagi,B2
mõõtma,"mõõdu järgi, teatud mõõduga eraldama, andma või jagama",B1
mädanema,põletiku tõttu mäda moodustama,B2
mägi,harilikult ümara või ovaalse põhijoonisega kõrgendik,A1
mägine,"selline, kus on mägesid, mägedega",B2
mälestama,austades meelde tuletama,B2
mälestus,"mällu jäänud, mälus talletunud elamus või taju, mälupilt millestki või kellestki",B1
mäletama,"kellelgi meeles olema, mälus säilima",A2
mäng,"võistluslik tegevus, mis nõuab oskusi või vastupidavust, sisaldab juhust ja mida sooritatakse kindlate reeglite järgi, tavaliselt osalejate või ka vaatajate meelelahutuseks",A2
mängima,"mänguga tegelema, mängu harrastama",A1
mänguline,"selline, kellel on mängulusti",B2
mänguväljak,sportmängude mängimiseks mõeldud väljak,B1
märg,rohkesti vett või muu vedelikku sisaldav,A2
märguanne,mingi sõnumi edasi andmine,B2
märkama,millestki teadlikuks saama,A2
märter,oma veendumuste pärast kannataja,C1
mäss,"võimule vastuhakkamine harilikult selle kukutamiseks, vääramiseks",B1
mässama,"ägedalt protestima, mässust osa võtma",B2
mässima,"millessegi segama, millegagi koormama",C1
määre,"õline paksem määrdeaine, mis seadme või muu liikuvate osade vahele panduna vähendab hõõrdumist, kulumist või kuumenemist",B2
määrima,ainet pinnale kandma ja laiali ajama või sisse hõõruma,B1
möllama,liikuma või tegutsema,C1
mööda,"märgist kõrvale, mitte pihta või täppi",B1
möönma,"tunnistama, nõustuma",B2
müristama,"müriseda, mürisevalt kõlada laskma",B1
mürk,"aine, mis teatud koguses ja kanguses organismi sattununa põhjustab muutusi organismi elutegevuses või surma",B1
mütoloogia,müütide süstemaatilise kogumise ja uurimisega tegelev teadusharu,B2
müts,suhteliselt lihtsa tegumoega,A2
müüma,"rahasumma eest, teatava hinnaga midagi loovutama",A1
müür,"piltlikult vaheseina, tõkke kohta inimsuhetes",B1
naaber,lähestikku elava või asuva isiku kohta,A2
naabrus,vahetu piirnevus või lähedus,B2
naarits,"pika kehaga väike pruun kiskjaline, kes elutseb veekogude kaldaaladel ja keda kasvatatakse ka karusloomana",B2
naasma,"tagasi tulema kohta, kus on varem viibitud",B2
naerma,"end naeruga väljendama, naeru kuuldavale laskma",A1
naine,täiskasvanud naissoost inimene,A1
nakatama,"haigustekitajaid edasi andma, nakkust põhjustama",B2
nakatuma,"indu, mõjustust, vaimustust saama",B2
nali,"sündmus, olukord või muu sellise",A1
naljalt,ilma pingutuseta,B2
napp,ilma liigseta,B1
nappima,"napiks jääma, puudu tulema",B1
napsama,haarama,C1
narrima,"midagi ära rikkuma, viletsasti, hooletult, lohakalt tegema",B2
neelama,"innukalt vastu võtma, endasse ahmima",B1
negatiivne,"ebasoovitav, kahjustav, halb",A2
neid,naissoost juunior,B2
neutraalne,mitte ühelegi poolele soodustusi andev,B2
nihe,harilikult üksikjuhtumi kohta,B2
nihkuma,ajaliselt aeglaselt ja vähehaaval liikuma,C1
nihutama,"nihkuma panema, aeglaselt, vähehaaval kuhugi liigutama",B2
nii-öelda,kui nii võib öelda või väljenduda,B2
niigi,kõnealusel määral,B2
niikaua,öeldus määratletud ajavahemiku jooksul,B2
niinimetatud,"selline, mis pole päris ametlik või mis seab öeldava teatava kahtluse alla",B2
niipalju,mingil määral,B2
niipea,lähemas tulevikus,B2
niisama,ilma pingutuseta,B1
niiske,veidi märg,B1
niisutama,niiskeks tegema,B2
niitma,vikatiga lüües või niidukiga töötades taimi,B2
nimeline,kellegi nime kandev,B1
nimelt,"täpsustuste, selgitavate asjaolude märkimiseks",B1
nimetama,"kedagi või midagi teatud nimetusega kutsuma, kellekski või millekski pidama",A2
nina,inimese ja selgroogsete loomade hingamisteede algusosa ning haistmisorgan,A1
niru,"kehv, halb",C1
nišš,olemasolu ning tegutsemist võimaldav hõivamata koht või ala mingis süsteemis,B2
nobe,kiirelt ja kergelt liikuv,C1
nohu,nina limaskesta põletik,B1
nokitsema,"isutult, raashaaval sööma",B2
nokk,"pikenenud näoluudest ning üla- ja alalõualuust moodustunud sarvkestaga kaetud elund lindudel toidu haaramiseks ja kinnihoidmiseks, samuti kaitsmiseks ning ründamiseks",B2
nool,"varb saagi, vaenlase või märklaua tabamiseks",B2
noomima,"kellelegi sobimatuks peetava käitumise, teo, eluviisi või muu pärast etteheiteid tegema, kedagi moraalitsevalt, õpetussõnu jagades manitsema",C1
noor,"suhteliselt lühikest aega elanud, mitte veel elatanud",A2
noorelt,"noorena, noores eas",B2
nooruslik,noorena näiv või tunduv,B2
noot,"tunnet eristav, sellele varjundit andev erijoon",B2
norima,peale käies midagi saada tahtma,B2
norm,"ettenähtud, kehtestatud hulk, kogus, suurus vm",A2
number,"arvu tähistav sümbol, arvu kirjamärk",A1
nupp,"väike kerajas, kooniline või muu kujuga moodustis harilikult mingi peenema, varsja eseme otsas",B2
nurk,ning sellest eri suundades väljuvate kiirte AB ja AC,A1
nõbu,"onu- või lellepoeg või -tütar, tädi- või sõtsepoeg või -tütar",B2
nõges,kõrvekarvadega rohttaim,B2
nõid,"nõidumisega tegelev, üleloomulikku maailma ja inimest teatud vahendite ning toimingutega vahendav isik",B2
nõks,"järsk liigutus, eriti tõuge või tõmme",B2
nõmm,kuiv lage või hajusate puude ja põõsastega liiva-ala,B2
nõrgendama,"nõrgemaks tegema, nõrgemaks muutma",B2
nõrk,"kergesti murduv, katkev või purunev",A1
nõudma,"tungivalt, vältimatult vajalikuks pidama",A1
nõunik,mingi nõuandva kogu või muu kollegiaalse organi liige,B2
nädal,seitsme päeva pikkune ajavahemik,A1
nägema,"silmadega, nägemisaistingu kaudu tajuma",A1
nägemus,tahtmatu nägelik meelelise elavuse ning teravusega kujutlus,B2
nägu,inimese pea esikülg,A1
nähtavale,"näha, paistma",B2
nähtavus,nähtav olek,B2
nähtu,"see, mida on nähtud",C1
näima,"nägemise, tundmise või mõttetegevuse põhjal teatud muljet omama",B1
näitama,kellelegi või millelegi tähendama,A1
nälg,tugev vajadus või iha millegi järele,B2
nälgima,söömataolemise või alatoitluse all kannatama,B2
näpistama,vahele haarates pigistama,B2
närima,kannatuse tunnet põhjustama,B2
närv,pindmisi närvilõpmeid või meeleelundeid kesknärvisüsteemiga ühendav perifeersesse närvisüsteemi kuuluv närvikiudude paeljas kogum,B1
närveerima,närviline olema,B1
näts,hoop millegi suhteliselt pehme vastu,B1
nördima,nördimust tundma,C1
nööp,"kaunistav või avamist ja sulgemist võimaldav harilikult ketasjas manus rõiva, jalanõu või muu kinnisel",B2
nöör,niidist jämedam ja köiest peenem punutud või keerutatud harilikult tekstiilkiudainest sidumis- ja kinnitusvahend,B1
nüri,halvasti lõikav,B2
nüüd,kõnehetke ajal lühema ajavahemiku jooksul,A1
objektiivne,"reaalsusele või objektile omane, sellele vastav või sellest tulenev",B2
objektiivselt,"erapooletul, neutraalsel, asjalikul moel",B2
oda,puitvarre ja selle tippu kinnitatud teravikuga muistne viske- ja torkerelv,B2
odav,"maksev, madala hinnaga",A1
ohkama,"kurbusest, murest, kuid ka kergendustundest või muu põhjusel läbi suu sügavalt ja kuuldavalt välja hingama",B1
ohtralt,rohkel viisil,B2
ohustama,"ohtlikku, ebasoodsasse või raskesse olukorda sattuma",B2
ohutult,"ilma ohuta, ohtu mitte põhjustaval moel",B2
ohutus,"olukord, kus ei saa juhtuda õnnetust ega midagi halba",B2
ohver,"see, mida või keda annetatakse jumalatele, haldjatele, vaimudele nende soosingu saavutamiseks või tänuks millegi eest",B1
ohverdama,"jumalatele, haldjatele või vaimudele harilikult selleks ettenähtud kohas ohvrit tooma",B2
ohvitser,sõjaväeliste auastmete liik,B2
okaspuu,"puu, mille lehed on okkad",B2
oks,"puu või põõsa tüvest või selle harust lähtuv, harilikult puitunud varreharu",B1
okupatsioon,võõra riigi territooriumi või selle osa hõivamine ja valduses hoidmine,B2
olema,"väljendab subjekti eksisteerimisprotsessi: mingis tegevuses, milleski osalemas",A1
olemus,"eseme või nähtuse sügavate, püsivate omaduste ja suhete kogum, mis määrab tema eksistentsi, iseloomu ja arenemise",B2
olend,mistahes elusolend,B2
olenema,"seoses või suhtes olema, millestki või kellestki tingitud või",B1
olu,elu- või keskkonnatingimused,B2
olukord,asjade üldine olemisviis või mingite tingimuste kombinatsioon mingil ajahetkel,A2
oluline,"oma väärtuse, vajalikkuse, mõju vms poolest esiletõusev, määravat või keskset osa etendav",A1
oluliselt,olulisel määral,B1
olümpia,nüüdisaja suurimad ning pidulikemad rahvusvahelised spordivõistlused,B2
oma,"väga tuttav, millegi poolest lähedane",B2
omadus,"millelegi iseloomulik tunnus, joon",B2
omapoolne,"kellegi enda poolt lähtuv, omalt poolt antav, lisatav või tehtav",B2
omaselt,iseloomulikul moel,B2
omavaheline,"vastastikune, kahe või enama isiku, nähtuse või muu vahel toimuv või olemasolev",B1
omavalitsus,"valitsemisviis, mille puhul iga haldusüksuse rahvas valitseb ennast oma kohalikes asjades ise või eri kutsealade või rahvaste esindajad otsustavad oma asju ise",B2
ometi,"käsu, soovi või ettepaneku tugev rõhutamine",B1
omistama,"midagi kellelegi või millelegi omaseks või kuuluvaks arvama, kellegi või millegi omaks pidama",B2
onupoeg,onu meessoost laps,A2
onutütar,onu naissoost laps,A2
ooper,"muusikaline lavateos, mis põhineb teksti, vokaal- ja instrumentaalmuusika ning näite-, tantsu- ja kujutava kunsti sünteesil",B1
ootama,"kuskil mõnda aega viibima või kuhugi jääma, arvestades teatud aja möödumisel kellegi või millegi saabumist või millegi toimumist",A1
ootamatu,üllatust tekitav,B1
ootamatult,järsul ja äkilisel moel,B1
ootuspärane,ootustele vastav,B2
operatiivne,"kiiresti, kindlalt juhtiv või tegutsev",B2
operatsioon,"tegu, mis sooritatakse töö käigus või töö osana",B1
oponeerima,"vastu väitma, kellelegi avalikus teaduslikus vaidluses vastuväiteid esitama",B2
opositsioon,"grupp inimesi või üksikisik mingis asutuses, ühingus, organisatsioonis või muu, kes seab oma seisukohti, poliitikat ja muu vastu valitsevatele seisukohtadele, poliitikale jm",B2
optimeerima,"optimaalseks tegema, kujundama nii soodsaks kui võimalik, antud tingimustes parimat lahendust leidma",B2
orb,ilma vanemateta laps,B2
orden,kõrgem aumärk silmapaistvate sõjaliste või muu teenete eest,B2
orel,"mängupuldist, paljudest eri suuruses viledest ja neis heli tekitavast õhusüsteemist koosnev suure heliulatuse ja rohkete kõlavärvidega muusikariist, mida mängitakse käsi- ja jalgklahvistikul",B1
orgaaniline,"elusa loodusega seotud, taimne v loomne",B2
organisatsioon,ühiste eesmärkidega tegutsev inimeste grupp või ühing,A2
orienteerima,ilmakaarte suhtes õigesse asendisse seadma,B2
orienteeruma,"oma asukohta mingi punkti või ilmakaarte suhtes kindlaks määrama, õiget liikumissuunda valida oskama",B2
orkaan,"tuul, mille tugevus on 12 palli või rohkem",B2
orkester,helitöid esitav paljuliikmeline muusikute kollektiiv,A2
osa,"tervikusse kuuluv, kuid sellest mõtteliselt või tegelikult eraldatav või eralduv jagu",A1
osadus,osa-olemine,C1
osakaal,kellegi või millegi suhteline tähtsus mingis süsteemis või muu tervikus,B2
osakond,"suurema asutuse, ettevõtte, organisatsiooni või muu alljaotus",A2
osalema,kaastegev olema,A2
osaline,"osaline, mitte täies ulatuses või mahus esinev või täit ulatust hõlmav",B1
osanik,"isik, kellel on rahaline osa mingis ettevõttes, tehases, pangas ja nii edasi",B2
osatama,puudutuse või liigutamisega ärritama,C1
osav,midagi meisterlikult sooritav,B2
oskama,"millekski võimeline olema, millegagi",A1
oskamatus,oskuste puudumine,B2
oskus,"millegi tegemiseks vajalik, nõutav võime",A2
ost,raha eest millegi omandamine,A2
ostja,"see, kes ostab müüja käest",A2
ostma,raha eest omandama,A1
osutuma,"ilmsiks või nähtavale tulema, ilmnema",B2
ots,tipmine osa,A2
otsa,külge,B1
otsas,"tipus, teravikus või otsmise osa küljes",B1
otsast,osa küljest,B2
otse,"mitte viltu, püsti",A2
otsekohe,ilma kõrvaliste teguriteta,C1
otsekohene,"vahendamata, ilma vaheastme vm vahepealseta",C1
otsima,kellegi või millegi asupaika avastada püüdma,A1
otsus,"tulemus, millele jõutakse pärast asjaolude, võimaluste läbimõtlemist, kaalumist, arutlemist",A2
ovaalne,ovaali kuju omav,B1
paar,väike ebamäärane number,A1
paastuma,"teatud aja kestel täielikult või osaliselt toidust või mõnest toiduliigist loobuma, paastu pidama, söömata või vähese söögiga olema",B2
paat,"väike, harilikult pealt lahtine veesõiduk",B1
paber,"õhuke kangas- või lehtmaterjal, mis on saadud taimse kiudaine sadestamise teel",A1
padi,"sulgede või muu pehme materjaliga täidetud harilikult nelinurkne kinnine kott, mida kasutatakse magamisel peaaluseks, istumisel pehmendamiseks või toetamiseks ja nii edasi",A1
padrun,"käsitulirelva või väiksema kaliibriga suurtüki laeng koos kesta, kuuli",B2
pael,"sõjaväelise auastme tähistamiseks õlakuil, varrukail",B2
pagema,eest ära minema,C1
paha,miski halb või ebameeldiv,B2
pahandama,"pahane, rahulolematu olema, seda ka sõnades väljendama",B1
pahatihti,mittesoovitud tegevuse või sündmuse kohta,B2
paigal,"ühe ja sama koha peal, liikumatult",B1
paigutama,"kedagi kuhugi majutama, elama panema või erirežiimile seadma",B1
paigutus,"paigutumine, paiknemine",B2
paikkond,"täpselt piiritlemata suurem maa-ala, piirkond maastikul, looduses",C1
paine,"surve, rõhumine",C1
paiskama,"kedagi või midagi rohkearvulist, suurekoguselist kiiresti kuhugi toimetama, suunama või paigutama",C1
paisuma,"mahult, ruumalalt suurenema",C1
paitama,silitustega hellitama,C1
pakatama,"paisuma, pingule, pungile minema",C1
pakkima,"pakkidesse panema, pakki või pakke tegema",A2
paks,suhteliselt suure ristlõikepinnaga,A1
paksus,ristlõikepinna mõõde,B2
pakt,poliitilise tähtsusega rahvusvaheline leping,B2
pala,"lühike muusika-, kirjandus- või muu sellise teos, selle osa või katkend",B2
palee,suur uhke ehitis,B2
paljas,märgib juhuslikkust,B1
palju,hulga või koguse poolest rohkel arvul,A1
paljundama,"arvuliselt suurendama, mitmekordistama, ühest mitu või palju arendama või tegema",B2
palkama,palga või muu tasu eest teenistusse võtma,B2
paluma,mõningates viisakusväljendites,A1
palve,"kellelegi teatavaks tehtud soov, mille täitmist loodetakse tema vaba tahte alusel",A2
palvetama,"palves jumala või jumaluse poole pöörduma, palvet lugema",B1
panema,"suunama, saatma, viima",A1
pang,avatud ülemise osaga silindrikujuline mahuti,B2
pank,sooritav ja sellega raharinglust korraldav asutus,A2
pant,"vara, millega tagatakse laenu või muu kohustuse täitmine",B2
panus,põhimaterjalisse kaunistuseks lisatav muust materjalist või muud värvi tükike,B2
papp,"paks jäik paber, mille 1 m kaal on harilikult üle 0,5 kg",B1
paragrahv,"seadustes, määrustes ja muu selline üksikut eeskirja sisaldav väike alljaotus",B1
parajalt,vajalikul määral,C1
paraku,"kõneleja kahetsevat suhtumist, kahjutunnet märkiv sõna mingi mittesoovitud, ebameeldiva asjaolu puhul",B1
paralleelselt,samal ajal,B2
parandama,"puudustest või pahedest vabastama, neid vähendama",A2
paranema,paremaks muutuma,B1
paras,"sobiv, kohane",B1
parasjagu,teataval määral,B2
paratamatult,möödapääsmatuna,B2
parem,paremal pool asuv,A1
paremik,"parem osa, parimad",B2
parempoolne,paremal pool asuv,B2
park,"korrastatud ja kujundatud puhkeala puude, põõsaste, muru ja veekogudega",A1
parkima,"kauemaks kui 5 minutiks seisma jätma, seismiseks paigutama",B1
parras,"laadungi- või reisijateruum, laevalagi, tekk",B2
part,hanest väiksem jässaka kere ja laia lameda nokaga veelind,A2
partii,kindlaksmääratud kogus ühesuguseid tooteid või tooteosi,A2
parukas,"alusele kinnitatud juustest või juuksesarnasest materjalist kate, mis asendab või varjab kandja oma juukseid",B2
parv,kinnitatult või lahtiselt kõrvuti asuvate palkide kogum vees nende edasiujutamiseks,B2
paslik,"kapuutsitaoline peakate, mille pikad seotavad otsad pööratakse sallina ümber kaela",C1
pass,harilikult kaardimängus: eemalejäämine teatud mängujärgust,A1
passima,"varitsema, luurama",C1
pasta,tainataoline püdel mass,B1
pasun,puust või puukoorest sirge või pisut kõverdatud ilma huulikuta puhkpill,B2
patarei,omavahel elektriliselt ühendatud galvaanielementide või akude kogum,B2
patent,seda tõendav riikliku organi poolt leiutajale teatud ajaks välja antud juriidiline dokument,B2
patrull,"valvesalgana liikumine, valve- või kontrollringkäigu tegemine",B2
patsutama,patse tekitades kergelt ja kiiresti korduvalt lööma,C1
patune,kellegi või millegi vastu eksinud,B2
paus,"atmosfääri eri kihtide vaheline üleminekuala, siirdekiht",B1
pea,psüühiliste protsesside ja tunnete asupaiga ning võrdkujuna,A1
peaaegu,"sellisel viisil, et pisut jääb vajaka",A2
peaasjalikult,enamusel juhtudest,C1
peal,millegi pinnapealsel poolel olevana,A1
peale,millestki ajaliselt hiljem,A1
pealegi,väljendab nõustumist,B2
pealekauba,"millelegi muule lisaks, juurde",B2
pealkiri,"teose, kirjatöö või selle osa nimi või nimetus",B1
pealt,"pealispinnalt, katmast",A2
pealtnägija,midagi pealt näinud isik,B2
