SÕNA,DEFINITSIOON,TASE
bioloogia,"teadus, mis uurib elusorganisme",B1
blokeerima,"teed, läbipääsu, soovimata tegevusi või muu sellise tõkestama",B2
blokk,"riikide, parteide või muu organisatsioonide alatine või ajutine liit teatud poliitiliste eesmärkide saavutamiseks",B2
blond,heledajuukseline,B1
breketid,hammaste moonutamiseks mõeldud klambrid,B2
brünett,"mustavereline, tumedajuukseline inimene",B1
bussijuht,"keegi, kes juhib bussi",A2
bürokraat,vormitäitmist nõudev ametnik,B2
büroo,teatud ametiasutus või selle osakond,B1
daam,"intelligentne, hea käitumisega ning arenenud maitsega naine",A2
debüüt,esmakordne avalik esinemine,C1
defekt,"nähtus, mis põhjustab millegi ebatäiuslikkuse",B2
defitsiit,"defitsiitne kaup, miski defitsiitne",B2
deklaratsioon,"tolli-, kindlustus- või muu asutusele esitatav kaubaloetelu tollimaksude tasumiseks",B2
delegeerima,delegaadiks saatma,B2
demonstreerima,"selgitavalt näitama, esitama või tutvustama",B2
detail,"oluline, ent väike osa tervikust, üksikosa",A2
detailselt,üksikasjalikul moel,B2
diagnoos,haiguse olemuse ja iseloomu määrang,B2
diagnoosima,diagnoosi panema,B2
dialoog,kahekõne antiikkirjandusest lähtunud filosoofilise proosa žanrina,B1
dieet,ettekirjutatud toitumiskord,B1
dikteerima,midagi üleskirjutamiseks ette lugema,B2
diplomaat,diplomaatlikult toimiv isik,B1
diplomaatia,osav ning paindlik talitusviis,B2
diplomaatiline,"diplomaatiasse puutuv, diplomaatiaga seotud",B1
direktor,asutuse või ettevõtte juhataja,A1
dirigeerima,"orkestrit, koori juhatama",B2
disainer,sisekujundusega tegelev kunstnik,B1
diskrimineerima,kitsendama või kärpima,B2
diskussioon,"arvamuste vahetamine , tihti vaidluse teel",B1
distants,vahemaa stardist finišini,B1
doktriin,"tõekspidamine , mida mingi grupp või koolkond tunnistab autoriteediks",B2
dokument,"kirjalik aruanne või paber millegi omamise või kohustuse tõenduseks, kinnitamiseks või muu",A2
dokumenteerima,dokumente esitama või vormistama,B2
dotsent,samuti sellise kutsega või sel ametikohal olev isik,B2
draama,"vapustav sündmus, raske elamus",B1
dramaatiline,tugevaid tundeid või elamusi väljendav või pakkuv,B2
duell,"korraldatu võistulus kahe tülitseva inimese vahel, kes võitlevad elu ja surma eest",B2
duett,või -pala kaks ettekandjat,B2
dünaamiline,jõudude mõjul toimuva liikumisega seotud,B2
dünastia,"valitsejasugu, rida samast soost põlvnenud",B2
eakas,"eakas, vanemas eas olev",B2
ebaaus,"nii iseloomustatakse inimest, kes valetab, petab, tüssab",B1
ebakindel,stabiilsust mitteomav,B1
ebameeldivus,"miski, mis ei meeldi, ebameeldiv sündmus, asjaolu vms",B2
ebamäärane,raskesti määratletav või tabatav,B2
ebaoluline,"miski, mis ei oma tähtsust",B1
ebapiisav,"ei ole piisav, et rahuldada vajadust",B1
ebavõrdne,hulga poolest mitte võrdne,B2
ebaõnn,"õnne puudumine, millegi mitte korda minemine, nurjumine, luhtumine",B2
edasi,"mingis vajalikus, soovitud, kavatsetud suunas",A1
edasi-tagasi,"vahelduvalt kord ühes, kord vastupidises suunas",B1
